,Ques,Ans
1113,What is not allowed when Grand Lodges are not in amity? ,inter-visitation
1114,What are the two most common reasons one Grand Lodge will withhold recognition from another?,Exclusive Jurisdiction and Regularity
1115,When did the UN recommend the Partition Plan?,29 November 1947
1116,When was the end of the British Mandate set?,midnight on 14 May 1948
1117,Who was the executive head of the Zionist Organization?,David Ben-Gurion
1118,What mathematician advance Greek Science?,Greek Science
1119,What period saw the rise of New Comedy?,Hellenistic
1120,When was the Battle of Actium?,31 BC
1121,When did Alexander the Great die?,323 BC
1122,What period saw the rise of the Septuagint?,Hellenistic
1123,dd,yptian Se
1124,dd,Buddh
1125,dd,m and E
1126,dd,Buddhism
1127,d,the Gre
1128,What ruler's death in 323 BC marks the beginning of the Hellenistic period?,Alexander the Great
1129,In what year did the Battle of Actium take place?,31 BC
1130,What kingdom did the Romans take over the year after the Battle of Actium?,Ptolemaic Egypt
1131,What type of poetry debuted in the Hellenistic period?,Alexandrian poetry
1132,What ancient religion did Greece embrace during the Hellenistic period?,Buddhism
1133,What signified the emergence of the Roman Empire?,Battle of Actium
1134,What event is the recognized beginning of the Hellenistic Period?,death of Alexander the Great
1135,Who advanced Greek Science?,the mathematician Euclid and the polymath Archimedes
1136,Napoleon spent ten years as emperor of what people?,the French
1137,When did Napoleon's empire collapse?,1815
1138,Where are Napoleon's campaigns still studied today?,military schools
1139,What did Napoleon bring civilly to his territories?,liberal reforms
1140,"What is Napoleon's legal achievement, still reaching a quarter of the world's legal systems?",the Napoleonic Code
1141,When was Napoleon Bonaparte born?,15 August 1769
1142,When did Napoleon Bonaparte die?,5 May 1821
1143,What was Napoleon Bonaparte's nationality?,French
1144,During what historical event did Napoleon rise to prominence?,the French Revolution
1145,When did Napoleon Bonaparte's empire finally collapse?,1815
1146,When did Napoleon Bonaparte die?,5 May 1821
1147,During what historical event did Napoleon rise to prominence?,the French Revolution
1148,What is the largest private foundation in the world?,"Bill & Melinda Gates Foundation (or the Gates Foundation, abbreviated as BMGF) is the largest private foundation in the world"
1149,Where is the Bill and Melinda gates foundation based? ,"The foundation, based in Seattle, Washington"
1150,Who founded Northwestern University?,John Evans
1151,What year was Northwestern founded?,1851
1152,In what year did Northwestern University began teaching?,1855
1153,What year were women allowed to attend Northwestern University?,1869
1154,Where did Northwestern University opened an additional campus at in 2008?,"Education City, Doha, Qatar"
1155,What was Northwestern's founding purpose in 1851?,to serve the Northwest Territory
1156,When did instruction begin at Northwestern?,1855
1157,When were women first admitted to Northwestern?,1869
1158,How many acres is the modern-day Northwestern campus in Evanston?,240
1159,What programs are offered at Northwestern's Quatar campus?,journalism and communication
1160,Which great lake is Northwestern located along?,Lake Michigan
1161,What is the name of the city located 12 miles north of Northwestern?,Chicago
1162,Where did Hokkien originate?,southern Fujian.
1163,What dialect is Hokkien closely related to?,Teochew
1164,What is Hokkien?,"a group of mutually intelligible Min Nan Chinese dialects spoken throughout Southeast Asia, Taiwan, and by many other overseas Chinese."
1165,Where is Hokkien spoken?,Southeast Asia
1166,Where did Hokkien originate?,southern Fujian
1167,What language is Hokkien closely related to?,Teochew
1168,What language is Hokkien distantly related to?,Hainanese
1169,Min and Hakka dialects are found where?,Fujian province
1170,What is Montevideo classified as?,a Beta World City
1171,What rank did Montevideo hold in Latin America during 2013?,8th
1172,Montevideo is the hub of commerce and higher education in what area?,Uruguay
1173,Montevideo is the chief port of what area?,Uruguay
1174,What is the population of Montevideo?,around 2 million
1175,What is the significance of poultry in the lives of humans?,"kept by humans for the eggs they produce, their meat, their feathers, or sometimes as pets."
1176,Are all domesticated and wild birds classified as poultry  ?,but does not include similar wild birds hunted for sport or food and known as game.
1177,What types of  birds are most commonly considered poultry?,"chickens, quails and turkeys"
1178,Was the Latin word for poultry also used to decribe other small animals as opposed to any poulty?,"from the Latin word pullus, which means small animal."
1179,Are any other birds considered common in the world of poultry?,domestic ducks and domestic geese.
1180,In what year did Arsenal join The Football League?,1893
1181,"During the 1930s, Arsenal won how many League Championships?",five
1182,When did Arsenal win their first Double Cup?,1970–71
1183,"Over a 17 year period which began in the late 80s, stretching five years into the new millenia, how many FA Cups did Arsenal win?",five
1184,What was the first football club from southern England to join The Football League?,Arsenal
1185,When did Arsenal join the Football League?,1893
1186,In what year did Arsenal qualify to be in the First Division?,1904
1187,How many league championships did Arsenal win in the 1930s?,five
1188,What was Arsenal's league position ranking at the end of the last century?,highest average
1189,"In what place with the word ""name"" in it do most people speak Dutch?",Suriname
